Date,A,B,C,Total
2/15/2022 0:00,0.018800078214829652,0.016452181058308923,0.011853398095958756,0.01582579363790071
2/16/2022 0:00,-0.0024692445433488475,0.0016325793606155603,-9.989344027971914e-05,-0.0003521322110520142
2/17/2022 0:00,-0.026315872444994226,-0.01615973568010387,-0.015682046317116782,-0.01957024671488783
2/18/2022 0:00,-0.00917298761623131,-0.006475707848256684,-0.00399736295570452,-0.006633768892224112
2/22/2022 0:00,-0.008430490491221243,-0.010558198364697402,-0.008943765055878905,-0.009309188460134177
2/23/2022 0:00,-0.01940866523237228,-0.013354612793951448,-0.012741267376855658,-0.015264993497792534
2/24/2022 0:00,0.015694384643502035,0.005768908709371301,0.0014787168095731218,0.00784469645912056
2/25/2022 0:00,0.022863347699136893,0.02057054076128928,0.02947138613926592,0.024173176494026505
2/28/2022 0:00,-0.006692585894038983,-0.0047848626103019765,-0.004162428072225333,-0.005252427575377361
3/1/2022 0:00,-0.020633945871810222,-0.015994059444415898,-0.010458652683241754,-0.015854053936835255
3/2/2022 0:00,0.023454610434295198,0.017375875598547585,0.02080364408592561,0.020572290532951065
3/3/2022 0:00,-0.01199671345631037,-0.002049760342187512,-0.000937931568722683,-0.005148508006211472
3/4/2022 0:00,-0.01133070446254314,-0.008429718051094715,-0.004182749894098947,-0.008070683071836116
3/7/2022 0:00,-0.031037643851532404,-0.02944397051915415,-0.026510348570461306,-0.02904905795959778
3/8/2022 0:00,-0.0027245374464063277,-0.010025770333977224,-0.008178618790504522,-0.006926994647874274
3/9/2022 0:00,0.025140429698492284,0.024781378044482327,0.019229516137347025,0.023118864548720808
3/10/2022 0:00,-0.011062979817522578,-0.0027343681512077556,-0.003097593291027989,-0.005724600836545801
3/11/2022 0:00,-0.014100046153339152,-0.00913233805852065,-0.007437074818877454,-0.01029249395805254
3/14/2022 0:00,-0.009764197237319583,-0.001398572798339659,0.0025464241310129143,-0.002987249972482897
3/15/2022 0:00,0.023120070226947398,0.02292601559744445,0.013034761658143434,0.01978652326358632
3/16/2022 0:00,0.030128384308826694,0.016840980260676375,0.013887078285708565,0.020416648145304084
3/17/2022 0:00,0.009968691889064685,0.014089744200517673,0.013135574534118621,0.012367278460664988
3/18/2022 0:00,0.011083759902352996,0.008217077079831547,0.008359924728080559,0.009246345363031594
3/21/2022 0:00,-0.008634110205082868,-0.0013470646712969714,-2.3851863995894007e-05,-0.0034285726053772114
3/22/2022 0:00,0.01219267552548553,0.00748240902673647,0.00714860555390584,0.008985839070039914
3/23/2022 0:00,-0.01904193378399399,-0.01603184769640431,-0.013052514127230963,-0.016109977427926858
3/24/2022 0:00,0.01695251529402042,0.012677763624495242,0.010342948584769918,0.01338944980502621
3/25/2022 0:00,0.0025765120223240068,0.005223447375732437,0.007288495772786563,0.004976595547000251
3/28/2022 0:00,0.006384901332707527,0.00710037638686889,0.0001215814219270861,0.004614573490826501
3/29/2022 0:00,0.014825606433594096,0.012703789525885023,0.0071037460299832045,0.011641423174827858
3/30/2022 0:00,-0.011429028156971555,-0.004625555566788231,-0.004199367382299202,-0.006830693433469093
3/31/2022 0:00,-0.018763753419497098,-0.012114366652604236,-0.014844493924736302,-0.01526261420170505
4/1/2022 0:00,0.0015246528017669458,0.0016054797355313788,0.0018476260654221033,0.0016551917086675694
4/4/2022 0:00,0.008476188196578471,0.003548407092138106,0.001687708168966573,0.004635707135645539
4/5/2022 0:00,-0.015539408516940578,-0.011643983411963377,-0.007615705256886374,-0.011695870715196954
4/6/2022 0:00,-0.01077660101758382,-0.00531621398420945,0.002143626698119405,-0.004794671099798031
4/7/2022 0:00,0.005385535437670175,0.005082108480783054,0.008076026560707383,0.006148656940048625
4/8/2022 0:00,-0.0018515659884432711,-0.00038767757233371114,0.002229009992767983,-3.9890933043462695e-05
4/11/2022 0:00,-0.014062561588631506,-0.013085853869450936,-0.010440093848892773,-0.01256106855396566
4/12/2022 0:00,-0.0033903306711710046,-0.004999753151258113,-0.0050297951334009605,-0.004465925829767348
4/13/2022 0:00,0.008906405364802694,0.009818993250078956,0.005664960305506339,0.008165669242528706
4/14/2022 0:00,-0.015075323445429278,-0.0039769277923331625,-0.004348244390170786,-0.00785195855416243
4/18/2022 0:00,0.00117142917045987,-0.003231864695528497,-0.00333036764970851,-0.001784786041826525
4/19/2022 0:00,0.02099617202574433,0.015631917680002383,0.00958685934525616,0.015483062822896798
4/20/2022 0:00,0.0014765061241701627,-0.0028797707417637097,0.0064888930837250225,0.0016094986922738919
4/21/2022 0:00,-0.016797495119285633,-0.012339366209433988,-0.010421100326296395,-0.0132290883289925
4/22/2022 0:00,-0.03456572446474493,-0.02669729884721017,-0.025625506027450395,-0.029004966539447508
4/25/2022 0:00,0.005504279899511744,0.005344650404588425,0.0002352867296171457,0.003736128722613863
4/26/2022 0:00,-0.031353089341760954,-0.02438023610477158,-0.017368478847859525,-0.02445082204305371
4/27/2022 0:00,-0.003572053227804961,0.00622083901210102,0.0011138038106113246,0.0012852143903823166
4/28/2022 0:00,0.0318872082508348,0.018132542982362443,0.018273724115194456,0.0227465663386901
4/29/2022 0:00,-0.03533331543448759,-0.03027805281170337,-0.03142100922900415,-0.03234341476180436
5/2/2022 0:00,0.012766792542757699,-0.001303053716405267,0.0023348054318275135,0.004580306066802153
5/3/2022 0:00,0.006112831239360128,-9.592613913045334e-05,0.005802641540620934,0.003909689769932001
5/4/2022 0:00,0.03757413520475783,0.025177699381130347,0.026552448488789127,0.029808538847923227
